Sample in Buffer,Sample in Window,TRIGGER,design_1_i/NV_nvdla_wrapper_0_dla_intr,design_1_i/tdc_bank_0_data_o[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,OCTAL
493,493,0,0,00000000174
494,494,0,0,00000000175
495,495,0,0,00000000204
496,496,0,0,00000000217
497,497,0,0,00000000152
498,498,0,0,00000000153
499,499,0,0,00000000156
500,500,0,0,00000000177
501,501,0,0,00000000171
502,502,0,0,00000000173
503,503,0,0,00000000206
504,504,0,0,00000000151
505,505,0,0,00000000152
506,506,0,0,00000000153
507,507,0,0,00000000176
508,508,0,0,00000000174
509,509,0,0,00000000201
510,510,0,0,00000000211
511,511,0,0,00000000152
512,512,0,0,00000000165
513,513,0,0,00000000153
514,514,0,0,00000000173
515,515,0,0,00000000176
516,516,0,0,00000000177
517,517,0,0,00000000201
518,518,0,0,00000000152
519,519,0,0,00000000154
520,520,0,0,00000000153
521,521,0,0,00000000170
522,522,0,0,00000000174
523,523,0,0,00000000176
524,524,0,0,00000000213
525,525,0,0,00000000161
526,526,0,0,00000000153
527,527,0,0,00000000156
528,528,0,0,00000000176
529,529,0,0,00000000175
530,530,0,0,00000000200
531,531,0,0,00000000207
532,532,0,0,00000000152
533,533,0,0,00000000153
534,534,0,0,00000000153
535,535,0,0,00000000160
536,536,0,0,00000000176
537,537,0,0,00000000170
538,538,0,0,00000000205
539,539,0,0,00000000152
540,540,0,0,00000000152
541,541,0,0,00000000160
542,542,0,0,00000000172
543,543,0,0,00000000176
544,544,0,0,00000000177
545,545,0,0,00000000207
546,546,0,0,00000000152
547,547,0,0,00000000151
548,548,0,0,00000000162
549,549,0,0,00000000203
550,550,0,0,00000000173
551,551,0,0,00000000175
552,552,0,0,00000000203
553,553,0,0,00000000153
554,554,0,0,00000000153
555,555,0,0,00000000152
556,556,0,0,00000000164
557,557,0,0,00000000173
558,558,0,0,00000000177
559,559,0,0,00000000202
560,560,0,0,00000000145
561,561,0,0,00000000153
562,562,0,0,00000000152
563,563,0,0,00000000173
564,564,0,0,00000000176
565,565,0,0,00000000172
566,566,0,0,00000000205
567,567,0,0,00000000153
568,568,0,0,00000000150
569,569,0,0,00000000153
570,570,0,0,00000000173
571,571,0,0,00000000170
572,572,0,0,00000000203
573,573,0,0,00000000203
574,574,0,0,00000000152
575,575,0,0,00000000153
576,576,0,0,00000000153
577,577,0,0,00000000171
578,578,0,0,00000000172
579,579,0,0,00000000175
580,580,0,0,00000000204
581,581,0,0,00000000147
582,582,0,0,00000000153
583,583,0,0,00000000153
584,584,0,0,00000000170
585,585,0,0,00000000171
586,586,0,0,00000000176
587,587,0,0,00000000215
588,588,0,0,00000000153
589,589,0,0,00000000151
590,590,0,0,00000000156
591,591,0,0,00000000173
592,592,0,0,00000000175
593,593,0,0,00000000176
594,594,0,0,00000000214
595,595,0,0,00000000154
596,596,0,0,00000000153
597,597,0,0,00000000152
598,598,0,0,00000000170
599,599,0,0,00000000174
600,600,0,0,00000000176
601,601,0,0,00000000205
602,602,0,0,00000000146
603,603,0,0,00000000153
604,604,0,0,00000000156
605,605,0,0,00000000170
606,606,0,0,00000000172
607,607,0,0,00000000203
608,608,0,0,00000000211
609,609,0,0,00000000153
610,610,0,0,00000000147
611,611,0,0,00000000155
612,612,0,0,00000000175
613,613,0,0,00000000166
614,614,0,0,00000000177
615,615,0,0,00000000207
616,616,0,0,00000000150
617,617,0,0,00000000150
618,618,0,0,00000000147
619,619,0,0,00000000157
620,620,0,0,00000000170
621,621,0,0,00000000173
622,622,0,0,00000000177
623,623,0,0,00000000152
624,624,0,0,00000000152
625,625,0,0,00000000152
626,626,0,0,00000000171
627,627,0,0,00000000172
628,628,0,0,00000000200
629,629,0,0,00000000207
630,630,0,0,00000000151
631,631,0,0,00000000151
632,632,0,0,00000000153
633,633,0,0,00000000167
634,634,0,0,00000000170
635,635,0,0,00000000173
636,636,0,0,00000000204
637,637,0,0,00000000152
638,638,0,0,00000000153
639,639,0,0,00000000153
640,640,0,0,00000000164
641,641,0,0,00000000173
642,642,0,0,00000000175
643,643,0,0,00000000205
644,644,0,0,00000000151
645,645,0,0,00000000153
646,646,0,0,00000000156
647,647,0,0,00000000171
648,648,0,0,00000000172
649,649,0,0,00000000201
650,650,0,0,00000000205
651,651,0,0,00000000155
652,652,0,0,00000000152
653,653,0,0,00000000160
654,654,0,0,00000000173
655,655,0,0,00000000175
656,656,0,0,00000000201
657,657,0,0,00000000213
658,658,0,0,00000000152
659,659,0,0,00000000150
660,660,0,0,00000000153
661,661,0,0,00000000174
662,662,0,0,00000000173
663,663,0,0,00000000174
664,664,0,0,00000000205
665,665,0,0,00000000146
666,666,0,0,00000000152
667,667,0,0,00000000155
668,668,0,0,00000000173
669,669,0,0,00000000174
670,670,0,0,00000000177
671,671,0,0,00000000212
672,672,0,0,00000000153
673,673,0,0,00000000152
674,674,0,0,00000000156
675,675,0,0,00000000202
676,676,0,0,00000000172
677,677,0,0,00000000177
678,678,0,0,00000000215
679,679,0,0,00000000152
680,680,0,0,00000000152
681,681,0,0,00000000152
682,682,0,0,00000000167
683,683,0,0,00000000172
684,684,0,0,00000000202
685,685,0,0,00000000204
686,686,0,0,00000000152
687,687,0,0,00000000152
688,688,0,0,00000000155
689,689,0,0,00000000172
690,690,0,0,00000000171
691,691,0,0,00000000204
692,692,0,0,00000000207
693,693,0,0,00000000152
694,694,0,0,00000000152
695,695,0,0,00000000153
696,696,0,0,00000000177
697,697,0,0,00000000170
698,698,0,0,00000000177
699,699,0,0,00000000207
700,700,0,0,00000000147
701,701,0,0,00000000160
702,702,0,0,00000000152
703,703,0,0,00000000171
704,704,0,0,00000000200
705,705,0,0,00000000203
706,706,0,0,00000000205
707,707,0,0,00000000152
708,708,0,0,00000000152
709,709,0,0,00000000152
710,710,0,0,00000000162
