Sample in Buffer,Sample in Window,TRIGGER,design_1_i/ro_bank_0_data_o[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
953,953,0,00000075
954,954,0,00000075
955,955,0,00000072
956,956,0,00000072
957,957,0,00000076
958,958,0,00000076
959,959,0,00000074
960,960,0,00000074
961,961,0,00000075
962,962,0,00000075
963,963,0,00000074
964,964,0,00000074
965,965,0,00000071
966,966,0,00000071
967,967,0,00000076
968,968,0,00000076
969,969,0,00000075
970,970,0,00000075
971,971,0,00000074
972,972,0,00000074
973,973,0,00000075
974,974,0,00000075
975,975,0,00000073
976,976,0,00000073
977,977,0,00000075
978,978,0,00000075
979,979,0,00000073
980,980,0,00000073
981,981,0,00000074
982,982,0,00000074
983,983,0,00000076
984,984,0,00000076
985,985,0,00000072
986,986,0,00000072
987,987,0,00000075
988,988,0,00000075
989,989,0,00000076
990,990,0,00000076
991,991,0,00000072
992,992,0,00000072
993,993,0,00000075
994,994,0,00000075
995,995,0,00000074
996,996,0,00000074
997,997,0,00000072
998,998,0,00000072
999,999,0,00000076
1000,1000,0,00000076
1001,1001,0,00000073
1002,1002,0,00000073
1003,1003,0,00000074
1004,1004,0,00000074
1005,1005,0,00000076
1006,1006,0,00000076
1007,1007,0,00000076
1008,1008,0,00000076
1009,1009,0,00000072
1010,1010,0,00000072
1011,1011,0,00000077
1012,1012,0,00000077
1013,1013,0,0000006f
1014,1014,0,0000006f
1015,1015,0,00000077
1016,1016,0,00000077
1017,1017,0,00000074
1018,1018,0,00000074
1019,1019,0,00000074
1020,1020,0,00000074
1021,1021,0,00000076
1022,1022,0,00000076
1023,1023,0,00000073
